".chain",".draw","min_dist","cvd_safe","min_deutan","min_protan","min_tritan","mean_chroma","lightness_spread","mean_L"
1,143,0.150106061154434,0.0712980352767096,0.0712590291803307,0.0794897967554209,0.0759320859458663,0.137652712057544,0.608394742673565,0.658848243366714
1,144,0.205118830852377,0.0928340965267085,0.0928486443009705,0.160384209525522,0.114235449183537,0.119462817860836,0.754635816980245,0.649859914102789
1,145,0.183352282205791,0.0941501591352727,0.0940459462746053,0.13880255685214,0.178177184617041,0.108832586000645,0.838285281718975,0.630770306918841
1,146,0.224872880395681,0.109459115855907,0.131756692043454,0.153273070787567,0.109529832245161,0.119098402860611,0.813501053072428,0.656344802453932
1,147,0.262890683969003,0.0938942787380043,0.0938843162261142,0.103899738998848,0.138815642419198,0.127957752385313,0.814708284543922,0.692647354839531
1,148,0.153964767087551,0.0767395399443486,0.0767554754695175,0.0812294975518144,0.0889439126982157,0.119039838741153,0.728607435891885,0.706548013752502
1,149,0.182593784237587,0.0365222134519593,0.0796136766383964,0.0797949820944645,0.0364577507490726,0.117803436727892,0.577701412220948,0.700114830565572
1,150,0.15101840900177,0.0604586797913978,0.0604549135151179,0.0729105332154022,0.0950487031820178,0.123750107486727,0.465313137732787,0.676169816350089
1,151,0.11608625850766,0.0640445183815175,0.09478084662078,0.0803010660638698,0.0640569166509518,0.125134911328512,0.585316018222488,0.663341694088746
1,152,0.115754101996327,0.073757906417812,0.073774752421963,0.100219146807389,0.101125325089363,0.114561905369645,0.584050873644938,0.663887620822517
1,153,0.154569504208119,0.0420510719855898,0.0914053210574769,0.0827125079211923,0.0420908741786013,0.129527303777883,0.438973444204865,0.665281442432823
1,154,0.137365948588077,0.0825843292209559,0.108174766503655,0.0825572728009415,0.0999035915253458,0.136077980502776,0.778758584771762,0.684990151521413
1,155,0.137365948588077,0.0825843292209559,0.108174766503655,0.0825572728009415,0.0999035915253458,0.136077980502776,0.778758584771762,0.684990151521413
